"ID","title","Description","duration","link"
"KfIQBPSSlsg","Net Standard 2 0 Késako ? (S. Pertus)","Au début il y'avait .Net Framework, puis vinrent entre autre Silverlight (paix à son âme) .Net Core, UWP, Xamarin and so on ...
.Net Standard 2.0 permet de standardiser les API et nous sort de l'enfer des PCL.
Nous verrons dans un premier temps ce qu'est .Net Standard et pourquoi vous devez aujourd'hui vous y intéresser de trés trés prés !
Ensuite, au travers d'un projet OSS, Dotmim.Sync nous parlerons de synchronisation de base de données.
Ou comment, en 4 lignes de codes, vous pouvez synchroniser une base de données serveur (comme SQL Server ou MySQL) avec une base de données cliente (comme SQLite) embarquée dans une application mobile, avec une gestion fine des changements ou des conflits.
Et comme nous sommes sous .Net Standard, vous pourrez utiliser ce framework un peu partout ;)","30 minutes et 42 secondes","https://www.youtube.com/watch?v=KfIQBPSSlsg"
"L-o9XlSiwl8","À tables ! Router efficacement avec Iproute et Netfilter ! (J. Durillon)","Avant, tout était simple. On lançait toutes nos application sur la même machine. Tout le monde écoutait sur localhost:808X et on était content. Maintenant, ton CTO te demande de tout mettre dans des conteneurs, parce que « ça va plus vite à packager et c’est microservices-ready ! »

Et là, tu commences à flipper parce qu’il faut faire du réseau. Et toi, pendant les cours sur IPv4 et TCP, bah tu dormais, bercé·e par le ballet des trames ethernet.

Dans ce Tools In Action, nous allons décortiquer différents outils. Voir comment les utiliser ensemble pour que les paquets aillent où on veut qu’ils aillent.","26 minutes et 49 secondes","https://www.youtube.com/watch?v=L-o9XlSiwl8"
"ROGW4_BclQE","async profiler, le profiler qu'il vous faut ! (N. Peters)","async-profiler est un profileur peu connu et pourtant terriblement efficace pour rechercher les problèmes de performance dans des applications java aussi bien lors des tests qu’en production. Il permet d’analyser la consommation cpu, la pression réalisée sur le GC, la contention dûe à des locks et de visualiser les résultats sous forme de flamgraph. On regardera sous le capot, et on expliquera dans les grandes lignes son fonctionnement, cela permettra de mieux appréhender les résultats qu'il nous renvoie. Enfin, nous verrons comment l'intégrer dans jmh de manière à pouvoir en profiter dans les phases de développement.","34 minutes et 34 secondes","https://www.youtube.com/watch?v=ROGW4_BclQE"
"BBo-rqmhpDM","Au delà des brokers un tour de l'environnement Kafka (F. Ramière)","Apache Kafka ne se résume pas aux brokers, il y a tout un écosystème open-source qui gravite autour. Je vous propose ainsi de découvrir les principaux composants comme Kafka Streams, KSQL, Kafka Connect, Rest proxy, Schema Registry, MirrorMaker, Interceptors, etc.","30 minutes et 55 secondes","https://www.youtube.com/watch?v=BBo-rqmhpDM"
"a9L2GNiugbI","Authentification et autorisation décentralisée avec JWT et Macaroons (J. Tanguy)","Nous verrons comment utiliser les Json Web Token et les Macaroons pour réaliser un mécanisme d'authentification et d'autorisation décentralisée","30 minutes et 21 secondes","https://www.youtube.com/watch?v=a9L2GNiugbI"
"edqLraqFdeU","Chaos Engineering – L’art de tout casser (C. Escoffier, J. Viet)","Vous avez une application distribuée? des microservices? Du JSON ? Du REST? Du Kafka? Du Kubernetes? Du Docker? Savez-vous qu’il existe une discipline qui n’a qu’un seul but: Casser votre application.

Dans cette discipline tous les coups sont permis : tuer des parties de l’application, couper le réseau, injecter des mauvaises réponses, modifier la latence, démarrer des milliers de faux clients… Dans cette présentation, nous vous montrons comment appliquer le Chaos Engineering pour « tenter » de casser votre application, les outils, les méthodes, l’exploitation des résultats, et évidemment l’amélioration de votre application. A la fin de cette présentation, vous n’aurez qu’une question : Mais pourquoi est-il aussi méchant?","27 minutes et 59 secondes","https://www.youtube.com/watch?v=edqLraqFdeU"
"K4q8ZHw9TuI","Code ton bot   développer un bot sur Messenger et Google Assistant en 30 min avec Tock (J. Buret)","Il existe un certain nombre d'outils permettant de développer un bot, la plupart sont gratuits mais peu sont open-source.

Pourtant il est assez simple de développer un bot en moins d'une demi-heure, tournant sur Facebook Messenger et Google Assistant , en utilisant uniquement des outils open-source.

Le live coding sera effectué en Kotlin à l'aide de la brique open-source Tock qui a notamment été utilisé pour développer le OUIbot.","30 minutes et 23 secondes","https://www.youtube.com/watch?v=K4q8ZHw9TuI"
"1SV2jQkegAY","Créer un outil CLI en 2 2 avec Rust (C. Delafargue)","L'outillage c'est fondamental, et outiller un processus avec un petit exécutable c'est super efficace. Après avoir beaucoup utilisé Bash, python et node, il est temps de passer à plus robuste (mais tout aussi rapide à coder). On va voir comment faire un petit outil en ligne de commande avec Rust, vite et bien.

parsing des arguments & flags
requêtes HTTP
shell out
compilation et distribution","29 minutes et 33 secondes","https://www.youtube.com/watch?v=1SV2jQkegAY"
"BpRyn7H6Avg","Du monolithe à la structure modulaire en utilisant Maven, IntelliJ et Stan4J (B. Brotosumpeno)","Dans cette séance, je voudrais montrer comment refactoriser un code monolithique en une structure modulaire en utilisant des outils comme :

IDE capable de faire automatique refactoring : Intellij (https://www.jetbrains.com/idea/download/) ,
Analyseur de structure : stan4j (http://stan4j.com/),
Gestion des modules et des dépendances : Apache Maven (https://maven.apache.org/).
Le refactoring ne dépend pas de la modularité Java 9 (Jigsaw). Vous pouvez donc l'utiliser même si vous n'êtes pas en Java 9. Une fois qu'ils sont dans une structure modulaire, le code devrait être facile à migrer vers la modularité de Java 9.","25 minutes et 52 secondes","https://www.youtube.com/watch?v=BpRyn7H6Avg"
"mTzabg-U09M","Hashicorp Nomad   Une architecture microservices lean en Prod (J. Devoucoux)","Assez naturellement, les microservices s’installent dans le paysage informatique moderne. Si Docker s’est imposé, du moins pour le moment, la guerre des orchestrateurs fait rage avec en tête Kubernetes qui domine, fort de soutiens solides, mais cela ne veut pas dire que les autres solutions ne sont pas valables, loin de là, Nomad en est un parfait exemple. Chez Jin nous avons expérimenté Kubernetes en prod comme premier choix, puis nos compétences devops venant à s’enrichir, nous avons été amenés à vouloir comprendre les rouages de nos outils pour mieux gérer nos infrastructure, et capitaliser nos connaissances sur des ressources réutilisables. C’est ainsi que la suite Hashicorp s’est présentée à nous. Ce talk explique la mise en place de notre cluster construit sur AWS avec la suite Hashicorp (Nomad/Consul/Vault/Terraform), ainsi que les difficultés que nous avons eu pour stabiliser notre système pour fonctionner sur un environnement de production à haute disponibilité.","29 minutes et 30 secondes","https://www.youtube.com/watch?v=mTzabg-U09M"
"xKRNbQsGavI","Java Code Coverage in Practice (E. Mandrikov)","Finally the award-winning EclEmma code coverage plug-in for Eclipse became an Eclipse Foundation project and available by default in Java IDE starting from Oxygen! This is a good opportunity to summarize experiences and best practices, such as continuous inspection, for efficient use of the most popular open-source tool to measure Java code coverage that EclEmma integrates into Eclipse IDE - JaCoCo ( http://www.jacoco.org/jacoco/index.html ).

The presentation will present different use cases and guide you through different integration points that exist beside the Eclipse IDE. We will also talk about interoperability with other tools, common pitfalls and how to prevent them.

And all this is for you exclusively firsthand by the insiders of the world of code quality - developers of SonarQube, JaCoCo and Eclipse EclEmma.","30 minutes et 19 secondes","https://www.youtube.com/watch?v=xKRNbQsGavI"
"vzpU2jxrxJ8","Java dans Docker Bonnes pratiques (C. Sabourdin, JC. Sirot)","Pourquoi, quand vous demandez à mettre en production une application java containérisée avec docker, vos ops font soudain la grimace ? Pourquoi vos containers, qui marchaient si bien sur votre PC, crashent si souvent en production ; et aussi pourquoi la RAM des noeuds se met-elle à swaper autant ?

Ces problèmes nous les avons rencontrés et nous vous proposons de partager ensemble nos découvertes et nos réflexions sur l'utilisation combinée de java et de docker.

Ensemble creusons la RAM, le CPU et les différentes options de gestion de memoire de la JVM pour obtenir le bon fonctionnement de notre application dans un containeur.","31 minutes et 31 secondes","https://www.youtube.com/watch?v=vzpU2jxrxJ8"
